Province,Year,Gender,Area_Type,Percentage
Aceh,2009,Male,Urban,28.93
Aceh,2009,Male,Rural,34.44
Aceh,2009,Male,Urban+Rural,32.86
Aceh,2009,Female,Urban,31.19
Aceh,2009,Female,Rural,40.12
Aceh,2009,Female,Urban+Rural,37.57
Aceh,2010,Male,Urban,30.16
Aceh,2010,Male,Rural,34.41
Aceh,2010,Male,Urban+Rural,33.22
Aceh,2010,Female,Urban,33.71
Aceh,2010,Female,Rural,38.22
Aceh,2010,Female,Urban+Rural,36.95
Aceh,2011,Male,Urban,26.88
Aceh,2011,Male,Rural,30
Aceh,2011,Male,Urban+Rural,29.13
Aceh,2011,Female,Urban,32.63
Aceh,2011,Female,Rural,30.8
Aceh,2011,Female,Urban+Rural,32.11
Aceh,2012,Male,Urban,26.85
Aceh,2012,Male,Rural,29.6
Aceh,2012,Male,Urban+Rural,28.82
Aceh,2012,Female,Urban,30.47
Aceh,2012,Female,Rural,33.44
Aceh,2012,Female,Urban+Rural,32.61
Aceh,2013,Male,Urban,24.05933914
Aceh,2013,Male,Rural,28.74760098
Aceh,2013,Male,Urban+Rural,27.41582084
Aceh,2013,Female,Urban,26.82153942
Aceh,2013,Female,Rural,31.87858981
Aceh,2013,Female,Urban+Rural,30.45900615
Aceh,2014,Male,Urban,25.12014636
Aceh,2014,Male,Rural,30.72913296
Aceh,2014,Male,Urban+Rural,29.1296823
Aceh,2014,Female,Urban,27.2331708
Aceh,2014,Female,Rural,33.81060417
Aceh,2014,Female,Urban+Rural,31.95953161
Aceh,2015,Male,Urban,24.03131538
Aceh,2015,Male,Rural,26.09564904
Aceh,2015,Male,Urban+Rural,25.50548532
Aceh,2015,Female,Urban,28.90231714
Aceh,2015,Female,Rural,30.88120447
Aceh,2015,Female,Urban+Rural,30.32338366
Aceh,2016,Male,Urban,23.47251126
Aceh,2016,Male,Rural,23.78822213
Aceh,2016,Male,Urban+Rural,23.69584406
Aceh,2016,Female,Urban,27.01681197
Aceh,2016,Female,Rural,28.18503601
Aceh,2016,Female,Urban+Rural,27.84781544
Aceh,2017,Male,Urban,22.33111464
Aceh,2017,Male,Rural,23.32515458
Aceh,2017,Male,Urban+Rural,23.02506874
Aceh,2017,Female,Urban,26.010208
Aceh,2017,Female,Rural,26.95937541
Aceh,2017,Female,Urban+Rural,26.67582112
Aceh,2018,Male,Urban,24.71158488
Aceh,2018,Male,Rural,28.91484792
Aceh,2018,Male,Urban+Rural,27.59014498
Aceh,2018,Female,Urban,29.6106079
Aceh,2018,Female,Rural,34.18280236
Aceh,2018,Female,Urban+Rural,32.75607906
Aceh,2019,Male,Urban,26.96970027
Aceh,2019,Male,Rural,27.37347703
Aceh,2019,Male,Urban+Rural,27.23946624
Aceh,2019,Female,Urban,29.70107999
